membership_id,household_key,income,member_status,state_grouped,credit_ranges,cancel_reason,renew_method,plus_indicator_description,zip,sc_vehicle_manufacturer_name,sc_vehicle_model_name,race,home_owner,education,dwelling_type,gender,occupation_code,occupation_group,occupant_type,mosaic_household,mosaic_global_household,kcl_b_ind_mosaicsgrouping,generation,tenure,aaa_no_tenure,aaa_member_tenure_years,aaa_mean_age,length_of_residence,aaa_mortgage,aaa_credit_card,aaa_deposit,aaa_home_equity,aaa_financial_service,aaa_auto_insurance,aaa_id_theft,aaa_motorcycle_indicator,aaa_travel,aaa_mean_child,aaa_mean_total_cost,aaa_no_race,aaa_no_home_owner,aaa_no_education,aaa_no_income,aaa_no_dwelling_type,aaa_no_credit_ranges,aaa_no_gender,aaa_no_language,aaa_no_reason_joined,aaa_cancel_reason,aaa_no_mosaic_household,aaa_no_mosaic_global_household,aaa_no_kcl_b_ind_mosaicsgrouping,aaa_no_occupation_code,aaa_no_occupation_group,aaa_no_occupant_type,aaa_no_plus_indicator_description,aaa_no_generation,total_calls_year_1,total_calls_year_2,total_calls_year_3,total_member_cost_1,total_member_cost_2,total_member_cost_3,basic_cost,plus_cost,premier_cost,mean_basic_cost,mean_plus_cost,mean_premier_cost,total_calls,total_member_cost,mean_total_member_cost,total_tow_miles,mean_tow_miles,vehicle,total_cost,mean_total_cost,total_members_in_household,total_calls_veh,total_cost_veh,total_member_cost_veh,mean_total_calls_veh,mean_total_cost_veh,mean_total_member_cost_veh,consumer_score
251,18185185,UNKNOWN,CANCELLED,RI,UNKNOWN,DECEASED,NOTICE,UNKNOWN,2896,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PLATINUM PROSPERITY,BOURGEOIS PROSPERITY,POWER ELITE,UNKNOWN,+40 YEARS,0,47,,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,0.0,,,,,2.0,16.0,2.0,7.0,,,,,,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,60.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,1,1211.0,53.0,62130.23,0.1645,0.007201,8.441607,
263,1344327,"100-149,999",CANCELLED,RI,650-699,NON-PAYMENT,NOTICE,UNKNOWN,2892,UNKNOWN,UNKNOWN,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,COLLEGES AND CAFES,METROPOLITAN STRUGGLERS,SINGLES AND STARTERS,UNKNOWN,BETWEEN 21 & 30 YEARS,2,25,58.0,5.0,0,0,0,0,0,0,0,,0,1.0,0.0,1.0,0.0,,1.0,0.0,3.0,,0.0,,1.0,37.0,8.0,9.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,2,1211.0,53.0,62130.23,0.1645,0.007201,8.441607,
282,37549482,"100-149,999",ACTIVE,RI,UNKNOWN,UNKNOWN,NOTICE,UNKNOWN,2814,UNKNOWN,UNKNOWN,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,P.O. BOX,FEMALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,POST-WAR (< 1948),+40 YEARS,0,47,85.5,5.0,0,0,0,0,0,1,0,1.0,0,1.0,16.5,6.0,0.0,,1.0,3.0,,2.0,0.0,,,1.0,1.0,1.0,3.0,4.0,,2.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,33.0,0.0,0.0,16.5,0.0,0.0,1.0,33.0,16.5,0.6,0.3,UNKNOWN UNKNOWN,33.0,16.5,2,1211.0,53.0,62130.23,0.1645,0.007201,8.441607,
335,6255081,"30-39,999",ACTIVE,RI,700-749,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2838,BUICK,VERANO,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,SFDU,FEMALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,TOWN ELDERS,COMFORTABLE RETIREMENT,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),+40 YEARS,0,47,77.0,15.0,0,0,0,0,0,0,0,0.0,0,1.0,32.5,1.0,0.0,,8.0,0.0,2.0,1.0,0.0,,,6.0,1.0,3.0,,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.5,32.5,0.0,0.0,32.5,0.0,0.0,1.0,32.5,32.5,0.0,0.0,BUICK VERANO,32.5,32.5,1,1799.0,31418.24,92512.87,2.6851,46.892896,138.07891,67.0
341,9562315,"10-19,999",CANCELLED,RI,600-649,DECEASED,NOTICE,BASIC MEMBERSHIP,2889,DODGE,RAM 1500,CAUCASION / WHITE - EASTERN EUROPEAN,HOME OWNER,HIGH SCHOOL,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DIAPERS AND DEBIT CARDS,HARD WORKING BLUE COLLAR,FAMILIES IN MOTION,BABY BOOMERS (1948 - 1968),BETWEEN 31 & 40 YEARS,5,47,62.0,13.125,0,0,0,0,0,0,0,0.0,0,1.0,26.625,7.0,0.0,2.0,6.0,2.0,5.0,,0.0,,3.0,51.0,5.0,18.0,,,,0.0,1.0,0.0,28.0,0.0,0.0,871.5,0.0,213.0,0.0,0.0,26.625,0.0,0.0,28.0,871.5,108.9375,21.8,2.725,DODGE RAM 1500,213.0,26.625,2,1570.0,24117.64,84943.62,3.0019,46.114034,162.416099,58.0
342,94798244,"90-99,999",ACTIVE,RI,700-749,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2905,DODGE,CARAVAN,CAUCASION / WHITE - ENGLISH,HOME OWNER,SOME COLLEGE,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,FEMALE,NURSE,PROFESSIONAL - KNOWN,UNKNOWN,DARE TO DREAM,METROPOLITAN STRUGGLERS,ASPIRATIONAL FUSION,POST-WAR (< 1948),BETWEEN 6 & 10 YEARS,3,21,73.0,2.6667,0,0,0,0,0,0,0,0.0,0,2.0,17.666667,2.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,,3.0,33.0,8.0,17.0,4.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,58.85,0.0,53.0,0.0,0.0,17.666667,0.0,0.0,1.0,58.85,19.616667,0.0,0.0,DODGE CARAVAN,53.0,17.666667,3,1570.0,24117.64,84943.62,3.0019,46.114034,162.416099,58.0
358,728651,UNKNOWN,CANCELLED,RI,UNKNOWN,MEMBERS REQUEST,NOTICE,UNKNOWN,2816,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO PLACE LIKE HOME,ROUTINE SERVICE WORKERS,THRIVING BOOMERS,POST-WAR (< 1948),+40 YEARS,0,47,90.0,0.0,0,0,0,0,0,1,0,,0,,0.0,,,,,0.0,,,,,3.0,3.0,3.0,4.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,2,1211.0,53.0,62130.23,0.1645,0.007201,8.441607,
366,24878379,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,AUTO RENEW,PREMIER MEMBERSHIP,2816,GMC,TERRAIN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POST-WAR (< 1948),+40 YEARS,0,47,80.0,0.0,0,0,0,0,0,1,0,0.0,1,,56.5625,,,,,,,,,,3.0,,,,,,,3.0,0.0,0.0,14.0,0.0,0.0,455.0,0.0,212.5,240.0,0.0,26.5625,30.0,0.0,14.0,455.0,56.875,93.2,11.65,GMC TERRAIN,452.5,56.5625,2,612.0,10831.98,35584.31,2.6379,46.689569,153.380647,56.0
374,9554430,"150 - 174,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,UNKNOWN,2879,UNKNOWN,UNKNOWN,CAUCASION / WHITE - WHITE NON-AMERICAN,HOME OWNER,SOME COLLEGE,SFDU,MALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,REAPING REWARDS,COMFORTABLE RETIREMENT,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),BETWEEN 6 & 10 YEARS,3,47,82.0,4.6667,1,0,0,0,1,0,0,1.0,0,1.0,18.0,3.0,0.0,1.0,10.0,0.0,1.0,2.0,0.0,,2.0,5.0,1.0,3.0,,1.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,54.0,18.0,2,1211.0,53.0,62130.23,0.1645,0.007201,8.441607,
387,16021561,UNKNOWN,CANCELLED,RI,UNKNOWN,DECEASED,NOTICE,UNKNOWN,2895,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DIGITAL DEPENDENTS,HARD WORKING BLUE COLLAR,SINGLES AND STARTERS,BABY BOOMERS (1948 - 1968),+40 YEARS,0,47,68.0,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,0.0,,,,,2.0,10.0,5.0,9.0,,,,,1.0,0.0,2.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,65.0,65.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,1,1211.0,53.0,62130.23,0.1645,0.007201,8.441607,
389,13473000,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,NOTICE,UNKNOWN,2919,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,FEMALE,RETIRED,RETIRED - KNOWN,RENTER,SENIOR DISCOUNTS,LOW INCOME ELDERS,GOLDEN YEAR GUARDIANS,BABY BOOMERS (1948 - 1968),+40 YEARS,0,47,69.0,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,2.0,,1.0,,,,11.0,7.0,3.0,1.0,3.0,2.0,,1.0,0.0,0.0,1.0,0.0,0.0,58.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.85,58.85,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,1,1211.0,53.0,62130.23,0.1645,0.007201,8.441607,
412,99993288,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2886,HYUNDAI,ELANTRA,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SETTLED AND SENSIBLE,HARD WORKING BLUE COLLAR,AUTUMN YEARS,POST-WAR (< 1948),+40 YEARS,0,47,92.2,0.0,0,0,0,0,0,0,0,1.0,0,,45.91,,,,,0.0,,,,,3.0,27.0,5.0,1.0,,,,0.0,0.0,0.0,12.0,0.0,0.0,706.2,0.0,229.55,0.0,0.0,45.91,0.0,0.0,12.0,706.2,141.24,0.0,0.0,HYUNDAI ELANTRA,229.55,45.91,2,1949.0,37892.83,99987.49,2.3202,45.110512,119.032726,73.0
416,3516647,"90-99,999",ACTIVE,RI,700-749,UNKNOWN,NOTICE,PREMIER MEMBERSHIP,2893,NISSAN,ALTIMA,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,SFDU,MALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,POST-WAR (< 1948),+40 YEARS,0,53,75.5,10.0,0,0,0,0,0,0,0,0.0,1,1.0,10.0,1.0,0.0,,2.0,0.0,2.0,2.0,0.0,,1.0,1.0,1.0,1.0,,1.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NISSAN ALTIMA,30.0,10.0,3,2577.0,45170.27,133946.81,2.5364,44.458927,131.837411,64.0
427,4414799,"100-149,999",ACTIVE,RI,700-749,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2878,TOYOTA,COROLLA,CAUCASION / WHITE - EUROPEAN,HOME OWNER,SOME COLLEGE,SFDU,FEMALE,UPPER MANAGEMENT/EXECUTIVE,MANAGEMENT - KNOWN,UNKNOWN,NO PLACE LIKE HOME,ROUTINE SERVICE WORKERS,THRIVING BOOMERS,BABY BOOMERS (1948 - 1968),BETWEEN 21 & 30 YEARS,2,25,56.8571,10.7143,0,0,0,0,0,0,0,0.0,0,1.0,26.714286,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,,,3.0,3.0,4.0,3.0,4.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,26.714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOYOTA COROLLA,187.0,26.714286,2,7477.0,142122.66,387594.07,2.475,47.044906,128.299924,73.0
439,4065455,"175 - 199,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2878,MERCEDES-BENZ,E320,HISPANIC - HISPANIC ORIGIN,HOME OWNER,SOME COLLEGE,SFDU,FEMALE,UPPER MANAGEMENT/EXECUTIVE,MANAGEMENT - KNOWN,UNKNOWN,SILVER SOPHISTICATES,BOURGEOIS PROSPERITY,BOOMING WITH CONFIDENCE,POST-WAR (< 1948),+40 YEARS,0,47,79.4444,11.6667,0,0,0,0,0,0,0,1.0,0,1.0,31.055556,6.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,,3.0,2.0,2.0,2.0,3.0,6.0,,2.0,0.0,14.0,7.0,23.0,476.0,227.5,802.0,279.5,0.0,0.0,31.055556,0.0,0.0,44.0,1505.5,167.277778,6.1,0.677778,MERCEDES-BENZ E320,279.5,31.055556,2,1211.0,18071.85,67650.22,3.3361,49.784711,186.364242,
450,574131,UNKNOWN,CANCELLED,RI,UNKNOWN,MEMBERS REQUEST,NOTICE,UNKNOWN,2852,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,BETWEEN 6 & 10 YEARS,3,47,91.0,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,,,,,,3.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,90.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,90.5,30.166667,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,3,1211.0,53.0,62130.23,0.1645,0.007201,8.441607,
484,9774894,"175 - 199,999",ACTIVE,RI,750-799,UNKNOWN,AUTO RENEW,PLUS MEMBERSHIP,2818,GMC,ACADIA,CAUCASION / WHITE - ENGLISH,HOME OWNER,UNKNOWN,SFDU,MALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,REAPING REWARDS,COMFORTABLE RETIREMENT,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),BETWEEN 21 & 30 YEARS,2,21,80.0,6.0,0,0,0,0,0,0,0,1.0,1,1.0,54.95,2.0,0.0,,7.0,0.0,1.0,2.0,0.0,,,5.0,1.0,3.0,,1.0,,2.0,0.0,6.0,6.0,6.0,353.1,353.1,318.0,329.7,0.0,0.0,54.95,0.0,0.0,18.0,1024.2,170.7,4.0,0.666667,GMC ACADIA,329.7,54.95,1,612.0,10831.98,35584.31,2.6379,46.689569,153.380647,56.0
487,2401826,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2816,BMW,335I,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,AGING OF AQUARIUS,BOURGEOIS PROSPERITY,BOOMING WITH CONFIDENCE,POST-WAR (< 1948),BETWEEN 6 & 10 YEARS,3,21,52.0833,2.3333,0,1,0,0,0,0,0,0.0,1,2.0,32.145833,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,,,8.0,2.0,2.0,17.0,2.0,,0.0,5.0,0.0,12.0,6.0,0.0,470.25,258.75,385.75,0.0,0.0,32.145833,0.0,0.0,18.0,729.0,60.75,17.6,1.466667,BMW 335I,385.75,32.145833,5,534.0,9810.89,30710.41,2.2437,41.222227,129.035336,76.0
491,2888955,"70-79,999",ACTIVE,RI,750-799,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2857,HYUNDAI,ELANTRA,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,SFDU,FEMALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,POST-WAR (< 1948),+40 YEARS,0,47,73.0,12.0,0,0,0,0,0,0,0,1.0,0,1.0,58.85,1.0,0.0,,3.0,0.0,1.0,1.0,0.0,,,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.85,0.0,0.0,58.85,0.0,0.0,0.0,0.0,0.0,8.0,8.0,HYUNDAI ELANTRA,58.85,58.85,1,1949.0,37892.83,99987.49,2.3202,45.110512,119.032726,73.0
