total_calls,aaa_mean_child,mean_basic_cost,length_of_residence,total_members_in_household,mean_tow_miles,mean_total_member_cost_veh,consumer_score,total_cost,credit_ranges_below_700,kcl_b_ind_mosaicsgrouping_boomers,aaa_auto_insurance_0,occupation_group_management,occupation_group_retired,use_road_side_0,use_road_side_1,aaa_motorcycle_indicator_0_0,aaa_id_theft,membership_id,yes_id_theft
15.0,1.0,55.34,6.0,1,0.8,164.69268200000002,0.017857142857142856,276.7,0,0,1,0,1,0,1,0,0,484,0.47
13.0,2.0,30.638889000000002,2.3333,5,1.066667,143.574269,0.013157894736842105,275.75,0,1,1,0,0,0,1,1,0,487,0.28
0.0,1.0,58.85,12.0,1,8.0,125.689416,0.0136986301369863,58.85,0,0,1,0,1,1,0,0,0,491,0.23
0.0,1.0,22.5,1.5,2,0.0,156.358351,0.01488015784150378,90.0,0,0,1,0,1,1,0,1,0,507,0.29
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,1,1,0,0,0,509,0.17421052631578943
9.0,3.0,13.9095,0.1733,6,0.579333,0.0,0.01488015784150378,14113.85,0,0,1,0,0,0,1,0,0,513,0.3
12.0,2.0,31.35625,11.375,5,7.0875,8.441607000000001,0.01488015784150378,250.85,0,0,1,0,0,0,1,0,0,535,0.33
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,538,0.03
0.0,3.0,0.0,7.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,1,1,1,0,0,1,0,0,0,559,0.15
0.0,2.0,6.75,3.75,4,0.0,135.775668,0.014285714285714285,27.0,0,1,1,0,0,1,0,1,1,584,1.0
21.0,4.0,24.6,10.0,4,0.683333,8.441607000000001,0.01488015784150378,147.6,0,0,1,0,1,0,1,0,0,593,0.46
0.0,2.0,26.5,15.0,2,0.0,8.441607000000001,0.01488015784150378,106.0,0,1,1,0,1,1,0,1,0,596,0.27
1.0,1.0,0.0,15.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,0,1,0,0,636,0.26
0.0,1.0,0.0,7.5,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,660,0.13
2.0,0.0,27.23125,0.0,6,0.0,8.441607000000001,0.01488015784150378,217.85,0,0,1,0,0,0,1,0,0,666,0.25
0.0,1.0,17.666667,3.3333,5,0.0,8.441607000000001,0.01488015784150378,106.0,0,0,1,0,0,1,0,1,0,722,0.18
20.0,1.0,47.57,8.0,1,12.08,132.370546,0.0136986301369863,240.16,0,1,1,0,0,0,1,0,0,725,0.34
4.0,0.0,53.0,0.0,1,0.0,162.93004399999998,0.015384615384615385,106.0,0,0,1,0,0,0,1,1,0,726,0.2
6.0,3.0,25.0,13.0,3,7.216667,150.919066,0.01639344262295082,150.0,0,0,1,1,0,0,1,1,0,727,0.23
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,775,0.03
28.0,1.0,53.835714,5.0,1,0.28571399999999997,181.860824,0.01488015784150378,376.85,1,0,1,0,1,0,1,0,0,778,0.6
26.0,1.0,22.714285999999998,0.1429,5,0.0,8.441607000000001,0.01488015784150378,159.0,0,0,1,0,0,0,1,0,0,783,0.27
0.0,4.0,23.4,7.2,3,0.2,8.441607000000001,0.01488015784150378,117.0,0,1,0,0,0,1,0,0,0,815,0.19
65.0,1.0,39.505,13.5,3,1.49,187.928256,0.017543859649122806,403.05,1,0,1,1,0,0,1,0,0,854,0.34
0.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,1,0,0,0,1,0,0,0,866,0.04
2.0,1.0,0.0,15.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,1,0,1,0,0,0,1,0,0,868,0.28
2.0,5.0,27.6,1.6,3,5.56,136.00893,0.015625,210.0,0,0,1,0,0,0,1,0,0,870,0.33
1.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,0,1,0,0,874,0.09
0.0,1.0,0.0,5.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,881,0.13
2.0,1.0,20.166667,8.6667,3,0.0,136.00893,0.015625,60.5,0,1,1,0,0,0,1,1,0,882,0.26
1.0,0.0,44.166667,0.0,3,0.0,155.627818,0.01488015784150378,265.0,0,0,0,0,0,0,1,1,0,898,0.19
3.0,1.0,27.0,4.6667,2,2.666667,132.370546,0.0136986301369863,81.0,0,0,1,0,0,0,1,1,0,959,0.3
0.0,0.0,15.0,0.0,2,5.0,162.892046,0.017241379310344827,30.0,0,0,1,0,0,1,0,1,0,965,0.13
2.0,1.0,53.0,7.5,2,0.0,135.775668,0.014285714285714285,106.0,0,0,1,0,0,0,1,1,0,1000,0.3
0.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,1010,0.03
0.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,1111,0.03
0.0,1.0,13.25,4.5,4,0.0,150.919066,0.01639344262295082,53.0,0,0,0,0,0,1,0,0,1,1126,1.0
19.0,2.0,37.857143,15.0,4,1.5714290000000002,208.38222199999998,0.014285714285714285,265.0,0,0,1,0,1,0,1,0,0,1132,0.46
42.0,1.3333,44.427273,4.0909,4,0.363636,156.358351,0.01488015784150378,488.7,0,0,0,1,0,0,1,0,0,1139,0.22
0.0,2.0,26.5,7.5,2,4.5,136.00893,0.015625,71.0,0,0,1,0,0,1,0,1,0,1180,0.23
46.0,1.0,42.015384999999995,4.6154,3,2.6538459999999997,8.441607000000001,0.01488015784150378,570.2,1,0,1,0,1,0,1,0,0,1216,0.57
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,1243,0.03
1.0,0.0,0.0,0.0,4,0.0,8.441607000000001,0.01488015784150378,0.0,0,1,1,0,0,0,1,0,0,1245,0.08
14.0,1.0,29.0,15.0,1,6.571428999999999,162.93004399999998,0.015384615384615385,208.0,1,0,1,1,0,0,1,1,0,1247,0.32
0.0,1.0,0.0,7.5,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,1,1,0,0,0,1249,0.28
3.0,1.0,11.166667,2.6667,3,0.0,8.441607000000001,0.01488015784150378,33.5,0,1,0,1,0,0,1,0,0,1269,0.23
0.0,2.0,0.0,0.5,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,1282,0.13
4.0,1.0,29.425,7.5,2,0.0,8.441607000000001,0.01488015784150378,58.85,0,0,1,0,0,0,1,0,0,1307,0.34
1.0,2.0,0.0,13.0,4,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,0,0,1,0,1,1329,1.0
2.0,1.0,0.0,15.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,0,0,1,0,0,1354,0.22
1.0,2.0,54.95,10.0,3,0.333333,132.370546,0.0136986301369863,164.85,1,0,1,0,0,0,1,1,0,1363,0.38
0.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,1382,0.03
12.0,0.0,55.925,0.0,1,0.0,152.51689199999998,0.013157894736842105,223.7,0,0,1,0,0,0,1,0,0,1397,0.25
12.0,1.0,22.6,4.2,4,6.0,153.336506,0.01488015784150378,113.0,0,0,0,1,0,0,1,1,0,1405,0.21
2.0,1.0,53.0,15.0,1,0.0,222.856818,0.01488015784150378,106.0,0,0,1,0,0,0,1,1,0,1497,0.3
2.0,2.0,31.357143,8.5714,4,0.3,125.689416,0.0136986301369863,219.5,0,0,1,0,1,0,1,0,0,1527,0.48
1.0,2.0,15.0,15.0,2,0.0,164.69268200000002,0.017857142857142856,30.0,0,0,1,0,0,0,1,1,0,1535,0.29
1.0,0.0,15.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,30.0,0,0,1,0,0,0,1,1,0,1549,0.2
4.0,1.5,13.25,7.0,4,0.0,8.441607000000001,0.01488015784150378,53.0,0,0,0,0,0,0,1,1,0,1589,0.28
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,1628,0.03
18.0,1.0,43.363636,2.3636,3,0.545455,155.627818,0.01488015784150378,477.0,0,1,1,1,0,0,1,0,0,1634,0.25
28.0,1.0,39.428571000000005,2.1429,2,2.142857,162.93004399999998,0.015384615384615385,276.0,0,0,1,0,1,0,1,0,0,1644,0.46
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,1696,0.03
0.0,1.0,0.0,15.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,1708,0.13
7.0,1.0,31.916666999999997,13.0,4,0.0,135.775668,0.014285714285714285,191.5,0,0,1,0,0,0,1,0,0,1763,0.34
2.0,0.0,26.5,0.0,2,0.0,162.93004399999998,0.015384615384615385,53.0,0,1,1,0,0,0,1,0,0,1777,0.23
0.0,2.0,0.0,15.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,1807,0.13
0.0,1.0,0.0,15.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,1,1,0,0,0,1847,0.23
1.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,1,0,1,0,0,1878,0.13
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,1,0,1,0,1,0,0,0,1906,0.06
0.0,3.0,35.333333,15.0,2,0.0,146.975438,0.0136986301369863,106.0,0,1,1,0,0,1,0,1,0,1923,0.18
0.0,1.0,0.0,13.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,1933,0.13
12.0,1.0,44.166667,2.5,2,0.0,161.44551299999998,0.015873015873015872,265.0,0,1,1,0,0,0,1,1,0,1967,0.26
3.0,1.0,38.95,15.0,1,10.333333,132.370546,0.0136986301369863,212.85,0,1,1,0,0,0,1,1,0,1968,0.28
2.0,1.0,17.666667,5.0,3,0.0,8.441607000000001,0.01488015784150378,53.0,0,1,1,0,0,0,1,0,0,2007,0.32
3.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,0,1,0,0,2020,0.09
0.0,2.0,28.666666999999997,6.6667,3,3.333333,156.036397,0.02,86.0,0,0,1,0,0,1,0,0,0,2021,0.17
14.0,1.0,35.1,12.0,2,0.08,132.370546,0.0136986301369863,175.5,0,0,1,0,0,0,1,0,0,2029,0.31
0.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,2030,0.03
13.0,2.0,24.121429,2.7143,5,4.057143,8.441607000000001,0.01488015784150378,168.85,0,0,0,0,0,0,1,1,0,2061,0.27
0.0,0.0,16.0,0.0,2,1.0,8.441607000000001,0.01488015784150378,32.0,0,0,1,0,0,1,0,1,0,2091,0.13
1.0,0.0,11.833333,0.0,3,0.0,8.441607000000001,0.01488015784150378,35.5,0,0,0,0,0,0,1,1,0,2114,0.19
5.0,2.0,27.835714000000003,5.7143,4,3.428571,132.370546,0.0136986301369863,251.85,0,0,1,0,0,0,1,1,0,2131,0.3
2.0,0.0,30.25,0.0,1,0.1,125.689416,0.0136986301369863,60.5,0,0,1,0,0,0,1,0,0,2134,0.26
4.0,1.0,19.2,12.2,2,0.0,132.370546,0.0136986301369863,98.29,0,0,0,0,0,0,1,0,0,2146,0.34
12.0,1.0,36.272727,0.8182,3,0.818182,135.775668,0.014285714285714285,399.0,0,1,0,0,0,0,1,0,0,2155,0.32
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,2171,0.03
6.0,2.0,13.428571,2.8571,5,2.871429,162.93004399999998,0.015384615384615385,94.0,0,0,0,0,1,0,1,1,0,2193,0.38
1.0,4.0,19.616667,0.3333,3,0.0,8.441607000000001,0.01488015784150378,58.85,0,0,0,1,0,0,1,0,0,2222,0.18
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,0,1,0,0,0,2225,0.04
0.0,2.0,39.833333,5.0,2,0.0,135.775668,0.014285714285714285,239.0,0,1,1,0,0,1,0,0,0,2255,0.16
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,2259,0.03
1.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,0,1,0,0,2269,0.09
0.0,1.0,41.5,2.0,2,0.0,132.370546,0.0136986301369863,83.0,0,0,0,0,0,1,0,1,0,2270,0.19
4.0,0.0,41.5,0.0,1,4.0,181.860824,0.01488015784150378,86.0,0,1,0,0,0,0,1,1,0,2272,0.22
1.0,1.0,0.0,13.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,0,1,0,0,2286,0.26
0.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,2301,0.03
1.0,2.0,13.5,7.5,2,0.0,208.38222199999998,0.014285714285714285,27.0,0,1,1,0,1,0,1,0,0,2313,0.42
6.0,1.0,31.5,9.0,1,4.766667,125.689416,0.0136986301369863,94.5,0,0,0,0,1,0,1,0,0,2330,0.41
8.0,2.0,22.428570999999998,6.4286,4,5.014286,127.172174,0.012987012987012988,238.0,0,0,1,0,0,0,1,0,0,2351,0.33
1.0,2.0,15.0,15.0,2,8.25,132.370546,0.0136986301369863,72.0,0,0,1,0,0,0,1,1,0,2366,0.3
4.0,2.0,19.6,10.4,4,0.0,135.775668,0.014285714285714285,98.0,0,0,0,0,0,0,1,1,0,2395,0.28
0.0,1.3333,0.0,15.0,3,0.0,8.441607000000001,0.01488015784150378,0.0,0,1,1,0,0,1,0,0,0,2413,0.08
2.0,2.0,30.5,13.0,1,3.0,132.370546,0.0136986301369863,30.5,0,0,1,0,0,0,1,1,0,2423,0.3
6.0,1.0,53.0,14.0,1,0.0,125.689416,0.0136986301369863,159.0,1,0,1,0,1,0,1,1,0,2452,0.55
0.0,2.0,17.666667,4.6667,3,0.0,125.689416,0.0136986301369863,53.0,0,0,1,0,0,1,0,1,0,2455,0.18
6.0,2.0,22.375,11.25,2,2.6,162.93004399999998,0.015384615384615385,89.5,1,1,1,0,1,0,1,1,0,2459,0.55
14.0,3.0,34.427778,8.7778,3,4.455556,136.00893,0.015625,329.85,0,0,1,0,0,0,1,0,0,2464,0.33
14.0,4.0,25.305556,13.3333,3,0.0,147.456553,0.013157894736842105,227.75,0,0,0,0,1,0,1,0,0,2485,0.37
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,2519,0.03
1.0,3.0,58.85,13.0,1,0.0,175.441122,0.015625,58.85,0,0,1,0,1,0,1,0,0,2550,0.42
0.0,2.0,0.0,6.5,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,2553,0.13
0.0,1.0,26.5,7.5,2,0.0,125.689416,0.0136986301369863,53.0,0,0,1,0,0,1,0,1,0,2573,0.18
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,2590,0.03
7.0,2.0,29.425,15.0,3,1.5,145.274146,0.014925373134328358,117.7,1,0,1,1,0,0,1,0,0,2599,0.34
15.0,2.0,51.34,5.0,1,0.0,150.919066,0.01639344262295082,256.7,0,1,1,0,0,0,1,0,0,2607,0.32
2.0,1.0,35.4625,10.25,3,0.0,135.775668,0.014285714285714285,141.85,0,0,1,0,0,0,1,0,0,2666,0.34
0.0,1.0,53.0,14.0,1,7.5,132.370546,0.0136986301369863,106.0,0,0,1,0,0,1,0,1,1,2667,1.0
0.0,1.0,0.0,7.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,1,0,1,0,0,0,2685,0.1
0.0,1.0,0.0,3.5,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,2695,0.13
2.0,1.0,35.333333,3.0,3,0.0,8.441607000000001,0.01488015784150378,106.0,0,0,1,0,0,0,1,1,0,2696,0.3
4.0,3.6,23.571429000000002,6.7143,5,11.0,150.919066,0.01639344262295082,276.0,0,0,0,1,0,0,1,1,0,2733,0.21
4.0,1.0,26.5,15.0,1,0.0,162.93004399999998,0.015384615384615385,53.0,0,0,1,0,0,0,1,1,0,2739,0.3
18.0,0.0,42.7275,0.0,3,0.375,216.82,0.01488015784150378,350.82,0,0,0,0,0,0,1,0,0,2762,0.21
13.0,2.625,26.666666999999997,9.4444,5,1.555556,164.69268200000002,0.017857142857142856,240.0,0,0,0,0,0,0,1,0,1,2763,1.0
0.0,2.0,0.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,1,1,0,0,0,2766,0.28
0.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,0,1,0,0,0,2783,0.04
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,1,1,0,0,1,0,0,0,2789,0.09
1.0,2.0,26.5,15.0,2,0.0,156.358351,0.01488015784150378,53.0,1,0,1,0,1,0,1,1,0,2804,0.55
8.0,0.0,10.75,0.0,3,0.925,8.441607000000001,0.01488015784150378,43.0,0,0,1,0,0,0,1,0,0,2808,0.24
27.0,2.0,49.633125,1.125,4,13.0,155.627818,0.01488015784150378,1394.13,0,0,0,0,1,0,1,0,0,2829,0.41
0.0,1.0,35.333333,5.3333,2,0.0,8.441607000000001,0.01488015784150378,106.0,0,0,0,0,0,1,0,1,0,2831,0.19
3.0,1.0,31.5,5.0,4,0.833333,8.441607000000001,0.01488015784150378,245.0,0,0,1,0,0,0,1,0,0,2836,0.33
1.0,0.0,26.5,0.0,2,0.0,8.441607000000001,0.01488015784150378,53.0,0,1,1,0,0,0,1,0,0,2850,0.23
0.0,1.0,17.666667,5.0,2,2.333333,135.775668,0.014285714285714285,53.0,0,0,1,0,0,1,0,0,0,2853,0.17
0.0,2.0,49.666667,15.0,1,1.233333,254.136538,0.01488015784150378,149.0,1,0,1,0,0,1,0,0,0,2872,0.26
1.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,0,1,0,0,2907,0.09
31.0,0.0,53.0,0.0,2,0.8,162.93004399999998,0.015384615384615385,265.0,0,0,0,0,0,0,1,1,0,2929,0.23
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,2932,0.03
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,2939,0.03
0.0,2.0,0.0,7.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,1,1,0,0,1,0,0,0,2946,0.08
2.0,3.0,27.333333000000003,10.0,2,7.0,156.358351,0.01488015784150378,121.0,0,1,1,1,0,0,1,1,0,2991,0.22
46.0,2.0,33.863636,1.4545,3,0.590909,72.43461500000001,0.020833333333333332,372.5,0,0,0,0,0,0,1,0,0,3013,0.34
3.0,2.0,41.2125,11.25,3,4.5,8.441607000000001,0.01488015784150378,164.85,0,1,0,0,0,0,1,0,0,3025,0.32
0.0,2.0,13.25,7.75,4,0.0,8.441607000000001,0.01488015784150378,53.0,0,0,0,0,0,1,0,1,0,3041,0.19
0.0,1.0,0.0,5.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,1,1,0,0,1,0,0,0,3050,0.08
0.0,2.0,0.0,10.0,3,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,3058,0.13
4.0,3.0,21.333333,10.0,2,0.0,8.441607000000001,0.01488015784150378,64.0,0,0,0,0,0,0,1,1,0,3062,0.28
27.0,0.0,43.427778,0.0,1,0.0,151.742059,0.01488015784150378,390.85,0,0,0,0,0,0,1,0,0,3066,0.2
12.0,2.0,41.783333,12.0,1,7.266667,125.689416,0.0136986301369863,125.35,0,0,0,1,0,0,1,1,0,3067,0.21
0.0,3.5,15.0,9.5,2,11.0,162.93004399999998,0.015384615384615385,90.0,0,1,0,0,1,1,0,1,0,3072,0.25
0.0,1.0,30.0,15.0,1,0.0,145.274146,0.014925373134328358,30.0,0,0,0,0,0,1,0,0,0,3085,0.18
1.0,1.0,21.5,7.5,2,0.0,8.441607000000001,0.01488015784150378,43.0,0,0,1,0,0,0,1,1,0,3094,0.3
5.0,2.0,20.785714000000002,13.0,3,0.0,135.775668,0.014285714285714285,145.5,0,0,1,1,0,0,1,1,0,3095,0.26
0.0,1.0,17.666667,11.6667,3,0.0,135.775668,0.014285714285714285,53.0,0,0,1,0,1,1,0,0,1,3111,1.0
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,3124,0.03
149.0,1.8519,41.42125,8.5938,6,4.33125,175.441122,0.015625,1716.11,0,1,0,0,0,0,1,0,0,3128,0.32
0.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,3138,0.03
3.0,1.0,35.333333,2.3333,3,0.0,8.441607000000001,0.01488015784150378,106.0,0,0,1,0,0,0,1,0,1,3141,1.0
2.0,0.0,26.5,0.0,3,0.0,8.441607000000001,0.01488015784150378,106.0,0,0,1,0,0,0,1,0,0,3161,0.25
6.0,2.0,29.407142999999998,6.4286,4,1.285714,143.574269,0.013157894736842105,205.85,0,0,1,0,0,0,1,1,0,3177,0.3
103.0,2.1053,38.473684000000006,7.9474,4,4.326316,156.036397,0.02,1111.0,0,0,0,0,0,0,1,0,0,3182,0.34
4.0,1.75,11.416667,5.8333,5,0.0,8.441607000000001,0.01488015784150378,68.5,0,1,1,0,0,0,1,1,0,3192,0.26
0.0,1.0,37.25,8.25,2,0.0,132.370546,0.0136986301369863,149.0,0,0,1,0,0,1,0,1,0,3237,0.18
2.0,2.0,45.428571000000005,10.7143,4,4.714286,145.274146,0.014925373134328358,339.0,0,1,1,0,0,0,1,0,1,3244,1.0
0.0,1.0,0.0,15.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,1,0,1,0,0,1,0,0,0,3289,0.21
1.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,0,1,0,0,3294,0.09
1.0,1.0,0.0,1.3333,3,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,0,0,1,0,0,3297,0.22
0.0,1.0,0.0,15.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,1,1,0,0,0,3357,0.28
0.0,1.0,0.0,13.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,1,1,0,0,0,3372,0.23
26.0,1.4,48.505,12.2,2,2.88,162.93004399999998,0.015384615384615385,485.05,0,0,0,0,1,0,1,0,0,3387,0.41
0.0,1.0,0.0,11.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,1,1,0,0,0,3391,0.28
6.0,1.0,55.925,11.25,2,1.0,145.274146,0.014925373134328358,223.7,0,1,1,0,1,0,1,1,0,3394,0.44
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,1,1,0,0,1,0,0,0,3412,0.09
0.0,0.0,0.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,3418,0.03
0.0,0.0,0.0,0.0,3,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,1,0,0,1,0,0,0,3423,0.03
