membership_id,household_key,income,member_status,state_grouped,credit_ranges,cancel_reason,renew_method,plus_indicator_description,zip,sc_vehicle_manufacturer_name,sc_vehicle_model_name,race,home_owner,education,dwelling_type,gender,occupation_code,occupation_group,occupant_type,mosaic_household,mosaic_global_household,kcl_b_ind_mosaicsgrouping,generation,tenure,aaa_no_tenure,aaa_member_tenure_years,aaa_mean_age,length_of_residence,aaa_mortgage,aaa_credit_card,aaa_deposit,aaa_home_equity,aaa_financial_service,aaa_auto_insurance,aaa_id_theft,aaa_motorcycle_indicator,aaa_travel,aaa_mean_child,aaa_mean_total_cost,aaa_no_race,aaa_no_home_owner,aaa_no_education,aaa_no_income,aaa_no_dwelling_type,aaa_no_credit_ranges,aaa_no_gender,aaa_no_language,aaa_no_reason_joined,aaa_cancel_reason,aaa_no_mosaic_household,aaa_no_mosaic_global_household,aaa_no_kcl_b_ind_mosaicsgrouping,aaa_no_occupation_code,aaa_no_occupation_group,aaa_no_occupant_type,aaa_no_plus_indicator_description,aaa_no_generation,total_calls_year_1,total_calls_year_2,total_calls_year_3,total_member_cost_1,total_member_cost_2,total_member_cost_3,basic_cost,plus_cost,premier_cost,mean_basic_cost,mean_plus_cost,mean_premier_cost,total_calls,total_member_cost,mean_total_member_cost,vehicle,total_cost,mean_total_cost,total_members_in_household
251,18185185,UNKNOWN,CANCELLED,RI,UNKNOWN,DECEASED,NOTICE,UNKNOWN,2896,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PLATINUM PROSPERITY,BOURGEOIS PROSPERITY,POWER ELITE,UNKNOWN,+40 YEARS,0,47,,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,0.0,,,,,2.0,16.0,2.0,7.0,,,,,,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,60.0,UNKNOWN UNKNOWN,0.0,0.0,1
263,1344327,"100-149,999",CANCELLED,RI,650-699,NON-PAYMENT,NOTICE,UNKNOWN,2892,UNKNOWN,UNKNOWN,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,COLLEGES AND CAFES,METROPOLITAN STRUGGLERS,SINGLES AND STARTERS,BABY BOOMERS (1948 - 1968),BETWEEN 6 & 10 YEARS,3,25,58.0,5.0,0,0,0,0,0,0,0,,0,1.0,0.0,1.0,0.0,,1.0,0.0,3.0,,0.0,,1.0,37.0,8.0,9.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,2
282,37549482,"100-149,999",ACTIVE,RI,UNKNOWN,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2814,DODGE,RAM 2500,HISPANIC - HISPANIC ORIGIN,HOME OWNER,UNKNOWN,P.O. BOX,MALE,UPPER MANAGEMENT/EXECUTIVE,MANAGEMENT - KNOWN,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,POST-WAR (< 1948),+40 YEARS,0,47,85.5,5.0,0,0,0,0,0,1,0,1.0,0,1.0,16.5,6.0,0.0,,1.0,3.0,,2.0,0.0,,,1.0,1.0,1.0,3.0,4.0,,2.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,33.0,0.0,0.0,16.5,0.0,0.0,1.0,33.0,16.5,DODGE RAM 2500,33.0,16.5,2
335,6255081,"30-39,999",ACTIVE,RI,700-749,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2838,BUICK,VERANO,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,SFDU,FEMALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,TOWN ELDERS,COMFORTABLE RETIREMENT,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),+40 YEARS,0,47,77.0,15.0,0,0,0,0,0,0,0,0.0,0,1.0,32.5,1.0,0.0,,8.0,0.0,2.0,1.0,0.0,,,6.0,1.0,3.0,,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.5,32.5,0.0,0.0,32.5,0.0,0.0,1.0,32.5,32.5,BUICK VERANO,32.5,32.5,1
341,9562315,"10-19,999",CANCELLED,RI,600-649,DECEASED,NOTICE,BASIC MEMBERSHIP,2889,DODGE,RAM 1500,CAUCASION / WHITE - EASTERN EUROPEAN,HOME OWNER,HIGH SCHOOL,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DIAPERS AND DEBIT CARDS,HARD WORKING BLUE COLLAR,FAMILIES IN MOTION,BABY BOOMERS (1948 - 1968),BETWEEN 31 & 40 YEARS,5,47,64.4,12.0,0,0,0,0,0,0,0,0.0,0,1.0,24.6,7.0,0.0,2.0,6.0,2.0,5.0,,0.0,,3.0,51.0,5.0,18.0,,,,0.0,1.0,0.0,16.0,0.0,0.0,498.0,0.0,123.0,0.0,0.0,24.6,0.0,0.0,16.0,498.0,99.6,DODGE RAM 1500,123.0,24.6,2
342,94798244,"90-99,999",ACTIVE,RI,700-749,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2905,DODGE,CARAVAN,CAUCASION / WHITE - ENGLISH,HOME OWNER,SOME COLLEGE,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,FEMALE,NURSE,PROFESSIONAL - KNOWN,UNKNOWN,DARE TO DREAM,METROPOLITAN STRUGGLERS,ASPIRATIONAL FUSION,POST-WAR (< 1948),BETWEEN 6 & 10 YEARS,3,21,73.0,2.6667,0,0,0,0,0,0,0,0.0,0,2.0,17.666667,2.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,,3.0,33.0,8.0,17.0,4.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,58.85,0.0,53.0,0.0,0.0,17.666667,0.0,0.0,1.0,58.85,19.616667,DODGE CARAVAN,53.0,17.666667,3
358,728651,UNKNOWN,CANCELLED,RI,UNKNOWN,MEMBERS REQUEST,NOTICE,UNKNOWN,2816,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO PLACE LIKE HOME,ROUTINE SERVICE WORKERS,THRIVING BOOMERS,POST-WAR (< 1948),+40 YEARS,0,47,90.0,0.0,0,0,0,0,0,1,0,,0,,0.0,,,,,0.0,,,,,3.0,3.0,3.0,4.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,2
366,24878379,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,AUTO RENEW,PREMIER MEMBERSHIP,2816,CHRYSLER,TOWN & COUNTRY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POST-WAR (< 1948),+40 YEARS,0,47,80.0,0.0,0,0,0,0,0,1,0,0.0,1,,48.5,,,,,,,,,,3.0,,,,,,,3.0,0.0,0.0,8.0,0.0,0.0,260.0,0.0,122.5,120.0,0.0,24.5,24.0,0.0,8.0,260.0,52.0,CHRYSLER TOWN & COUNTRY,242.5,48.5,2
374,9554430,"150 - 174,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,UNKNOWN,2879,UNKNOWN,UNKNOWN,CAUCASION / WHITE - WHITE NON-AMERICAN,HOME OWNER,SOME COLLEGE,SFDU,MALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,REAPING REWARDS,COMFORTABLE RETIREMENT,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),BETWEEN 6 & 10 YEARS,3,47,82.5,7.0,1,0,0,0,1,0,0,1.0,0,1.0,13.5,3.0,0.0,1.0,10.0,0.0,1.0,2.0,0.0,,2.0,5.0,1.0,3.0,,1.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,27.0,13.5,2
387,16021561,UNKNOWN,CANCELLED,RI,UNKNOWN,DECEASED,NOTICE,UNKNOWN,2895,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DIGITAL DEPENDENTS,HARD WORKING BLUE COLLAR,SINGLES AND STARTERS,BABY BOOMERS (1948 - 1968),+40 YEARS,0,47,68.0,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,0.0,,,,,2.0,10.0,5.0,9.0,,,,,1.0,0.0,2.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,65.0,65.0,UNKNOWN UNKNOWN,0.0,0.0,1
389,13473000,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,NOTICE,UNKNOWN,2919,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,FEMALE,RETIRED,RETIRED - KNOWN,RENTER,SENIOR DISCOUNTS,LOW INCOME ELDERS,GOLDEN YEAR GUARDIANS,BABY BOOMERS (1948 - 1968),+40 YEARS,0,47,69.0,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,2.0,,1.0,,,,11.0,7.0,3.0,1.0,3.0,2.0,,1.0,0.0,0.0,1.0,0.0,0.0,58.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.85,58.85,UNKNOWN UNKNOWN,0.0,0.0,1
412,99993288,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2886,HYUNDAI,ELANTRA,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SETTLED AND SENSIBLE,HARD WORKING BLUE COLLAR,AUTUMN YEARS,POST-WAR (< 1948),+40 YEARS,0,47,92.2,0.0,0,0,0,0,0,0,0,1.0,0,,45.91,,,,,0.0,,,,,3.0,27.0,5.0,1.0,,,,0.0,0.0,0.0,12.0,0.0,0.0,706.2,0.0,229.55,0.0,0.0,45.91,0.0,0.0,12.0,706.2,141.24,HYUNDAI ELANTRA,229.55,45.91,2
416,3516647,"90-99,999",ACTIVE,RI,700-749,UNKNOWN,NOTICE,UNKNOWN,2893,UNKNOWN,UNKNOWN,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,POST-WAR (< 1948),+40 YEARS,0,53,75.5,10.0,0,0,0,0,0,0,0,0.0,1,1.0,10.0,1.0,0.0,,2.0,0.0,2.0,2.0,0.0,,1.0,1.0,1.0,1.0,,1.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,30.0,10.0,3
427,4414799,"100-149,999",ACTIVE,RI,700-749,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2878,TOYOTA,COROLLA,CAUCASION / WHITE - EUROPEAN,HOME OWNER,SOME COLLEGE,SFDU,FEMALE,UPPER MANAGEMENT/EXECUTIVE,MANAGEMENT - KNOWN,UNKNOWN,NO PLACE LIKE HOME,ROUTINE SERVICE WORKERS,THRIVING BOOMERS,BABY BOOMERS (1948 - 1968),BETWEEN 21 & 30 YEARS,2,25,58.0,11.25,0,0,0,0,0,0,0,0.0,0,1.0,27.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,,,3.0,3.0,4.0,3.0,4.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,TOYOTA COROLLA,108.0,27.0,2
439,4065455,"175 - 199,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2878,MERCEDES-BENZ,E320,HISPANIC - HISPANIC ORIGIN,HOME OWNER,SOME COLLEGE,SFDU,FEMALE,UPPER MANAGEMENT/EXECUTIVE,MANAGEMENT - KNOWN,UNKNOWN,SILVER SOPHISTICATES,BOURGEOIS PROSPERITY,BOOMING WITH CONFIDENCE,POST-WAR (< 1948),+40 YEARS,0,47,76.625,13.125,0,0,0,0,0,0,0,1.0,0,1.0,31.1875,6.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,,3.0,2.0,2.0,2.0,3.0,6.0,,2.0,0.0,14.0,7.0,22.0,476.0,227.5,772.0,249.5,0.0,0.0,31.1875,0.0,0.0,43.0,1475.5,184.4375,MERCEDES-BENZ E320,249.5,31.1875,2
450,574131,UNKNOWN,CANCELLED,RI,UNKNOWN,DECEASED,NOTICE,UNKNOWN,2852,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POST-WAR (< 1948),+40 YEARS,0,47,91.0,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,,,,,,3.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,90.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,90.5,30.166667,UNKNOWN UNKNOWN,0.0,0.0,3
484,9774894,"175 - 199,999",ACTIVE,RI,750-799,UNKNOWN,AUTO RENEW,PLUS MEMBERSHIP,2818,GMC,ACADIA,CAUCASION / WHITE - ENGLISH,HOME OWNER,UNKNOWN,SFDU,MALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,REAPING REWARDS,COMFORTABLE RETIREMENT,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),BETWEEN 21 & 30 YEARS,2,21,80.0,6.0,0,0,0,0,0,0,0,1.0,1,1.0,55.34,2.0,0.0,,7.0,0.0,1.0,2.0,0.0,,,5.0,1.0,3.0,,1.0,,2.0,0.0,5.0,5.0,5.0,294.25,294.25,265.0,276.7,0.0,0.0,55.34,0.0,0.0,15.0,853.5,170.7,GMC ACADIA,276.7,55.34,1
487,2401826,"90-99,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2816,TOYOTA,TACOMA,CAUCASION / WHITE - WHITE NON-AMERICAN,HOME OWNER,COMPLETED COLLEGE,SFDU,FEMALE,DENTIST/DENTAL HYGIENIST,PROFESSIONAL - KNOWN,UNKNOWN,AGING OF AQUARIUS,BOURGEOIS PROSPERITY,BOOMING WITH CONFIDENCE,BABY BOOMERS (1948 - 1968),BETWEEN 21 & 30 YEARS,2,21,52.1111,2.3333,0,1,0,0,0,0,0,0.0,1,2.0,30.638889,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,,,8.0,2.0,2.0,17.0,2.0,,0.0,5.0,0.0,9.0,4.0,0.0,347.0,172.5,275.75,0.0,0.0,30.638889,0.0,0.0,13.0,519.5,57.722222,TOYOTA TACOMA,275.75,30.638889,5
491,2888955,"70-79,999",ACTIVE,RI,750-799,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2857,HYUNDAI,ELANTRA,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,SFDU,FEMALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,POST-WAR (< 1948),+40 YEARS,0,47,73.0,12.0,0,0,0,0,0,0,0,1.0,0,1.0,58.85,1.0,0.0,,3.0,0.0,1.0,1.0,0.0,,,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.85,0.0,0.0,58.85,0.0,0.0,0.0,0.0,0.0,HYUNDAI ELANTRA,58.85,58.85,1
507,6593863,"40-49,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2816,MERCURY,SABLE,UNKNOWN,HOME OWNER,UNKNOWN,SFDU,FEMALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,REAPING REWARDS,COMFORTABLE RETIREMENT,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),+40 YEARS,0,47,74.0,1.5,0,0,0,0,0,0,0,0.0,0,1.0,22.5,,0.0,,5.0,0.0,1.0,1.0,,,2.0,5.0,1.0,3.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,MERCURY SABLE,90.0,22.5,2
509,7794499,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,NOTICE,UNKNOWN,2914,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,MALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,TOWN ELDERS,COMFORTABLE RETIREMENT,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),+40 YEARS,0,47,74.5,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,0.0,,2.0,,,,6.0,1.0,3.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,2
513,90083049,"90-99,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2838,NISSAN,ALTIMA,CAUCASION / WHITE - ENGLISH,HOME OWNER,COMPLETED COLLEGE,SFDU,MALE,UNKNOWN,MANAGEMENT - INFERRED,UNKNOWN,FAMILY FUN-TASTIC,CAREER AND FAMILY,FLOURISHING FAMILIES,BABY BOOMERS (1948 - 1968),BETWEEN 16 & 20 YEARS,4,26,38.057,0.1733,0,0,0,0,0,0,0,1.0,0,3.0,47.046167,2.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,,6.0,9.0,4.0,8.0,,5.0,,2.0,3.0,8.0,1.0,0.0,441.95,30.0,0.0,4172.85,72.0,0.0,13.9095,0.24,0.0,9.0,471.95,1.573167,NISSAN ALTIMA,14113.85,47.046167,6
