total_calls_veh,aaa_mean_child,total_members_in_household,mean_tow_miles,mean_total_member_cost_veh,consumer_score,aaa_financial_service_0,plus_indicator_description_basic_membership,plus_indicator_description_plus_membership,occupation_group_management,occupation_group_retired,sc_vehicle_manufacturer_name_middle_end_vehicle,tenure_between_21___40_years,tenure_under_20_years,no_members_3___member,gender_female,gender_male,kcl_b_ind_mosaicsgrouping_boomers,kcl_b_ind_mosaicsgrouping_golden_year,kcl_b_ind_mosaicsgrouping_power_elite,education_completed_college,use_road_side,membership_id,yes_roadside
2043.0,5.0,3,5.56,136.00893,0.015625,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,870,1.0
2043.0,1.0,3,0.0,136.00893,0.015625,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,882,1.0
476.0,0.0,3,0.0,155.627818,0.01488015784150378,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,898,1.0
5836.0,1.0,2,2.666667,132.370546,0.0136986301369863,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,959,1.0
1181.0,0.0,2,5.0,162.892046,0.017241379310344827,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,965,0.8
2726.0,1.0,4,0.0,150.919066,0.01639344262295082,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1126,0.77
856.0,1.3333,4,0.363636,156.358351,0.01488015784150378,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1139,1.0
1211.0,1.0,3,2.6538459999999997,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1216,1.0
4697.0,1.0,1,6.571428999999999,162.93004399999998,0.015384615384615385,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1247,1.0
1211.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1249,0.8125
1211.0,2.0,4,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1329,1.0
1211.0,1.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1354,1.0
5836.0,2.0,3,0.333333,132.370546,0.0136986301369863,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1363,1.0
968.0,0.0,1,0.0,152.51689199999998,0.013157894736842105,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1397,1.0
1548.0,2.0,4,0.3,125.689416,0.0136986301369863,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1527,1.0
492.0,2.0,2,0.0,164.69268200000002,0.017857142857142856,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1535,1.0
1211.0,1.5,4,0.0,8.441607000000001,0.01488015784150378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1589,1.0
476.0,1.0,3,0.545455,155.627818,0.01488015784150378,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1634,1.0
4697.0,1.0,2,2.142857,162.93004399999998,0.015384615384615385,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1644,1.0
1211.0,1.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1708,0.8125
3761.0,1.0,4,0.0,135.775668,0.014285714285714285,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1763,1.0
4697.0,0.0,2,0.0,162.93004399999998,0.015384615384615385,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1777,1.0
1211.0,2.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,0.83
1211.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1847,0.855
1211.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1878,1.0
417.0,3.0,2,0.0,146.975438,0.0136986301369863,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1923,0.81
1211.0,1.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1933,0.86
5836.0,1.0,1,10.333333,132.370546,0.0136986301369863,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1968,1.0
1322.0,2.0,3,3.333333,156.036397,0.02,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2021,0.75
5836.0,2.0,4,3.428571,132.370546,0.0136986301369863,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2131,1.0
1548.0,0.0,1,0.1,125.689416,0.0136986301369863,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2134,1.0
5836.0,1.0,2,0.0,132.370546,0.0136986301369863,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2146,1.0
3761.0,1.0,3,0.818182,135.775668,0.014285714285714285,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,2155,1.0
4697.0,2.0,5,2.871429,162.93004399999998,0.015384615384615385,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2193,1.0
1211.0,4.0,3,0.0,8.441607000000001,0.01488015784150378,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2222,1.0
1211.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2225,0.8399999999999999
3761.0,2.0,2,0.0,135.775668,0.014285714285714285,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,2255,0.77
1211.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2269,1.0
5836.0,1.0,2,0.0,132.370546,0.0136986301369863,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2270,0.91
1211.0,1.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2286,1.0
337.0,2.0,2,0.0,208.38222199999998,0.014285714285714285,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2313,1.0
1548.0,1.0,1,4.766667,125.689416,0.0136986301369863,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2330,1.0
166.0,2.0,4,5.014286,127.172174,0.012987012987012988,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2351,1.0
5836.0,2.0,2,8.25,132.370546,0.0136986301369863,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2366,1.0
3761.0,2.0,4,0.0,135.775668,0.014285714285714285,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2395,1.0
1211.0,1.3333,3,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2413,0.75
5836.0,2.0,1,3.0,132.370546,0.0136986301369863,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2423,1.0
1548.0,1.0,1,0.0,125.689416,0.0136986301369863,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2452,1.0
1548.0,2.0,3,0.0,125.689416,0.0136986301369863,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,2455,0.8
4697.0,2.0,2,2.6,162.93004399999998,0.015384615384615385,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,2459,1.0
2043.0,3.0,3,4.455556,136.00893,0.015625,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2464,1.0
750.0,4.0,3,0.0,147.456553,0.013157894736842105,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,2485,1.0
1253.0,3.0,1,0.0,175.441122,0.015625,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2550,1.0
1548.0,1.0,2,0.0,125.689416,0.0136986301369863,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2573,0.83
1380.0,2.0,3,1.5,145.274146,0.014925373134328358,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,2599,1.0
2726.0,2.0,1,0.0,150.919066,0.01639344262295082,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2607,1.0
3761.0,1.0,3,0.0,135.775668,0.014285714285714285,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2666,1.0
5836.0,1.0,1,7.5,132.370546,0.0136986301369863,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2667,0.77
1211.0,1.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,2685,0.9
1211.0,1.0,3,0.0,8.441607000000001,0.01488015784150378,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2696,1.0
2726.0,3.6,5,11.0,150.919066,0.01639344262295082,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2733,1.0
3.0,0.0,3,0.375,216.82,0.01488015784150378,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2762,1.0
1211.0,2.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2766,0.86
856.0,2.0,2,0.0,156.358351,0.01488015784150378,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,2804,1.0
476.0,2.0,4,13.0,155.627818,0.01488015784150378,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,2829,1.0
3761.0,1.0,2,2.333333,135.775668,0.014285714285714285,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2853,0.74
100.0,2.0,1,1.233333,254.136538,0.01488015784150378,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,2872,0.67
1211.0,2.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2946,0.72
856.0,3.0,2,7.0,156.358351,0.01488015784150378,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,2991,1.0
36.0,2.0,3,0.590909,72.43461500000001,0.020833333333333332,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,3013,1.0
1211.0,2.0,4,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3041,0.87
1211.0,2.0,3,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3058,0.7408333333333332
271.0,0.0,1,0.0,151.742059,0.01488015784150378,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3066,1.0
1548.0,2.0,1,7.266667,125.689416,0.0136986301369863,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3067,1.0
4697.0,3.5,2,11.0,162.93004399999998,0.015384615384615385,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,3072,0.71
1380.0,1.0,1,0.0,145.274146,0.014925373134328358,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3085,0.91
3761.0,2.0,3,0.0,135.775668,0.014285714285714285,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,3095,1.0
3761.0,1.0,3,0.0,135.775668,0.014285714285714285,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,3111,0.85
1253.0,1.8519,6,4.33125,175.441122,0.015625,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,3128,1.0
1211.0,0.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3138,0.8683333333333333
424.0,2.0,4,1.285714,143.574269,0.013157894736842105,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3177,1.0
1322.0,2.1053,4,4.326316,156.036397,0.02,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,3182,1.0
5836.0,1.0,2,0.0,132.370546,0.0136986301369863,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3237,0.82
1380.0,2.0,4,4.714286,145.274146,0.014925373134328358,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,3244,1.0
1211.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3289,0.8433333333333333
1211.0,1.0,3,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3297,1.0
1211.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3357,0.86
1211.0,1.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3372,0.8125
4697.0,1.4,2,2.88,162.93004399999998,0.015384615384615385,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,3387,1.0
1380.0,1.0,2,1.0,145.274146,0.014925373134328358,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,3394,1.0
1211.0,2.0,3,0.0,8.441607000000001,0.01488015784150378,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,3456,1.0
1153.0,4.0,4,0.375,117.08376299999999,0.012345679012345678,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3470,1.0
1211.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,3487,1.0
1322.0,3.0,2,2.6,156.036397,0.02,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,3520,0.63
4697.0,2.0,3,1.054545,162.93004399999998,0.015384615384615385,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,3536,1.0
4697.0,3.0,4,0.0,162.93004399999998,0.015384615384615385,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,3557,1.0
2726.0,3.0,5,5.10625,150.919066,0.01639344262295082,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3562,1.0
4697.0,2.0,1,2.5333330000000003,162.93004399999998,0.015384615384615385,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3579,1.0
1211.0,1.0,4,0.0,8.441607000000001,0.01488015784150378,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3696,0.88
1153.0,1.0,3,0.0,117.08376299999999,0.012345679012345678,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,3716,1.0
1211.0,1.0,3,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3734,0.92
1211.0,2.0,2,3.26,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3737,0.89
1211.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3774,0.72
772.0,0.0,1,0.333333,151.74655900000002,0.014285714285714285,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,3780,1.0
1211.0,2.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3789,0.7925
981.0,2.0,3,0.75,144.325817,0.014084507042253521,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,3855,0.77
1548.0,2.0,4,1.7777779999999999,125.689416,0.0136986301369863,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,3883,1.0
3761.0,1.0,2,0.0,135.775668,0.014285714285714285,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,3884,1.0
1211.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3913,0.83
5836.0,1.0,2,0.0,132.370546,0.0136986301369863,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,3921,1.0
4697.0,0.0,2,0.0,162.93004399999998,0.015384615384615385,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3934,1.0
968.0,0.0,2,0.0,152.51689199999998,0.013157894736842105,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3955,0.87
1253.0,4.4286,6,1.307692,175.441122,0.015625,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,3959,1.0
4697.0,1.6,3,0.0,162.93004399999998,0.015384615384615385,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,4011,1.0
1211.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4036,1.0
100.0,1.0,3,0.333333,254.136538,0.01488015784150378,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,4055,1.0
2726.0,1.0,4,0.0,150.919066,0.01639344262295082,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,4063,0.62
5836.0,2.0,2,0.0,132.370546,0.0136986301369863,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4070,0.67
856.0,0.0,1,1.0,156.358351,0.01488015784150378,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4075,1.0
5836.0,1.0,2,0.0,132.370546,0.0136986301369863,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4099,1.0
3761.0,1.0,3,0.333333,135.775668,0.014285714285714285,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,4123,1.0
36.0,1.0,1,9.333333,72.43461500000001,0.020833333333333332,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,4127,1.0
955.0,2.0,2,0.333333,191.50224599999999,0.01488015784150378,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4208,0.8
1322.0,1.0,2,0.0,156.036397,0.02,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,4228,0.79
2043.0,1.0,2,0.5,136.00893,0.015625,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,4264,1.0
1211.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4269,0.76
166.0,2.0,2,0.5,127.172174,0.012987012987012988,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,4296,1.0
968.0,2.0,4,1.333333,152.51689199999998,0.013157894736842105,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,4300,1.0
1380.0,2.0,2,0.0,145.274146,0.014925373134328358,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4311,0.89
476.0,1.7143,6,3.6133330000000004,155.627818,0.01488015784150378,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4322,1.0
5836.0,1.0,1,0.0,132.370546,0.0136986301369863,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4339,0.77
1211.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4366,0.91
1211.0,1.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4386,0.7
968.0,2.0,3,0.333333,152.51689199999998,0.013157894736842105,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,4433,1.0
1548.0,1.0,1,0.0,125.689416,0.0136986301369863,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4482,0.88
1211.0,1.0,5,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4489,0.79
4697.0,0.0,2,0.0,162.93004399999998,0.015384615384615385,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4494,0.8750000000000001
772.0,3.0,4,0.3,151.74655900000002,0.014285714285714285,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,4534,1.0
1253.0,6.0,5,0.0,175.441122,0.015625,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4538,1.0
2043.0,1.0,3,1.25,136.00893,0.015625,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,4539,0.8
1211.0,2.0,1,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4565,0.81
1380.0,0.0,1,1.5714290000000002,145.274146,0.014925373134328358,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4617,1.0
1211.0,4.0,4,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4625,1.0
1548.0,2.0,3,1.0,125.689416,0.0136986301369863,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4662,1.0
1211.0,1.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4679,0.79
1211.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4682,0.8399999999999999
1211.0,1.0,3,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,4706,0.76
337.0,1.0,2,0.0,208.38222199999998,0.014285714285714285,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,4758,1.0
2043.0,3.0,6,0.22222199999999998,136.00893,0.015625,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4767,1.0
4697.0,0.0,6,4.408333,162.93004399999998,0.015384615384615385,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4792,1.0
1211.0,2.0,2,0.0,8.441607000000001,0.01488015784150378,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,4797,1.0
3761.0,4.0,3,2.5,135.775668,0.014285714285714285,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4805,0.59
641.0,1.0,2,0.0,181.860824,0.01488015784150378,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4816,1.0
981.0,1.0,1,0.0,144.325817,0.014084507042253521,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4852,0.76
492.0,1.0,5,0.0,164.69268200000002,0.017857142857142856,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,4860,1.0
1181.0,4.0,1,1.0,162.892046,0.017241379310344827,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,4921,1.0
